id,artist_name,album_name,releaseDate,duration_ms_x,explicit,is_local,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams
3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,17711,196373,TRUE,FALSE,Be Alright,88,0.697,0.553,0.586,0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443,58847015
3fEpuoSr8ufvyRR7s2jB3U,DJ Durel,Hot Summer,17739,231481,TRUE,FALSE,Hot Summer,66,0.0236,0.918,0.632,0,1,0.378,-6.979,1,0.278,92.011,4,0.396,1816891
3i01Zk9c0FQ5HA1WJjflXI,YBN Cordae,Kung Fu,17725,199680,TRUE,FALSE,Kung Fu,78,0.0227,0.876,0.608,1.16E-05,8,0.107,-6.019,1,0.109,124.983,4,0.258,1494564
3QybPutx0Tjk472bBKjNWn,Sheck Wes,Mo Bamba,17428,180897,TRUE,FALSE,Mo Bamba,21,0.268,0.738,0.629,0.00114,6,0.163,-4.882,0,0.0495,146.067,4,0.319,46480471
3yAVrwXhueRFZMUjxkh2ia,Rich The Kid,The World Is Yours,17620,182486,TRUE,FALSE,Leave Me,66,0.0323,0.869,0.56,0,10,0.219,-7.59,1,0.137,147.9,4,0.392,1869812
52CLdezBWVldcnpfTI0Vh2,YG,HANDGUN (feat. A$AP Rocky),17739,214906,TRUE,FALSE,HANDGUN (feat. A$AP Rocky),1,0.0297,0.848,0.523,0,8,0.277,-7.772,1,0.417,159.057,4,0.484,1720490
55GiOwtxNajXVbpjjIzMnD,Tyga,SWISH,17737,194935,TRUE,FALSE,SWISH,79,0.0831,0.884,0.541,0,11,0.118,-5.608,1,0.221,105.009,4,0.274,34673408
5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,No Brainer,17739,260000,TRUE,FALSE,No Brainer,82,0.0733,0.552,0.76,0,0,0.0865,-4.706,1,0.342,135.702,5,0.639,71225931
5yNEdBlZMxpcVtGKz5NFk5,The Chainsmokers,Sick Boy...Side Effects,17739,173613,FALSE,FALSE,Side Effects (feat. Emily Warren),22,0.00277,0.673,0.71,0,8,0.55,-6.744,1,0.0324,110.017,4,0.54,7706614
68449VKGwYShObwI2UFdFt,Rich The Kid,The World Is Yours,17620,272152,TRUE,FALSE,Lost It (feat. Quavo & Offset),70,0.00905,0.827,0.642,1.50E-06,1,0.0865,-4.29,0,0.242,145.004,4,0.181,1374272
6e2PtJYcltVk76nLwxBzRn,Logic,One Day (feat. Ryan Tedder),17739,199866,TRUE,FALSE,One Day (feat. Ryan Tedder),59,0.118,0.529,0.871,0.000164,10,0.115,-5.831,1,0.155,189.837,4,0.272,5797907
6n6OQfBpCgzF9oEg8zhBN7,Kenny Chesney,Songs for the Saints,17739,199625,FALSE,FALSE,Get Along,71,0.101,0.632,0.804,0,7,0.17,-6.109,1,0.0503,92.456,4,0.35,1636881
01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,Swimming,17746,161840,FALSE,FALSE,Come Back to Earth,72,0.89,0.272,0.238,0.00925,2,0.275,-12.148,0,0.0349,83.507,4,0.119,7429295
0Xcy81PsJCOO6mhLZaQyQ4,Mac Miller,Swimming,17746,215413,TRUE,FALSE,Perfecto,66,0.748,0.599,0.317,0,1,0.111,-11.212,1,0.174,148.09,4,0.203,3219982
0ZNrc4kNeQYD9koZ3KvCsy,YG,STAY DANGEROUS,17746,237240,TRUE,FALSE,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",79,0.00552,0.745,0.346,0,1,0.0881,-7.709,1,0.331,203.911,4,0.112,80081364
11kDth1aKUEUMq9r1pqyds,Travis Scott,ASTROWORLD,17746,196138,TRUE,FALSE,5% TINT,71,0.173,0.712,0.481,0,4,0.241,-5.415,0,0.0487,140,4,0.062,17344013
16umSNZfofRpDqTvf8DIAo,Mac Miller,Swimming,17746,250120,TRUE,FALSE,Wings,69,0.818,0.656,0.33,0.00386,8,0.107,-8.771,1,0.162,119.057,4,0.349,3789432
1qUdAB72nSWPZwDqH9KMYD,YG,STAY DANGEROUS,17746,153706,TRUE,FALSE,BULLETPROOF (feat. Jay 305),64,0.137,0.776,0.515,0,10,0.321,-7.415,0,0.411,162.488,3,0.448,1988293
1snWlbcbgQpJfknoI30DWG,Alan Walker,Darkside,17739,211866,FALSE,FALSE,Darkside,77,0.164,0.425,0.642,0,4,0.118,-5.06,0,0.0502,170.008,4,0.112,1401655
1xYpVRspgaLxdJLOTQkTjg,Travis Scott,ASTROWORLD,17746,338438,TRUE,FALSE,STOP TRYING TO BE GOD,72,0.221,0.588,0.567,0,4,0.135,-3.738,0,0.0628,150.009,4,0.113,19739123
20MuVazoNMv6xjKPnRFOxG,Travis Scott,ASTROWORLD,17746,231963,TRUE,FALSE,WAKE UP,75,0.192,0.741,0.645,0,11,0.163,-5.116,0,0.0963,149.07,4,0.488,25803222
27a1mYSG5tYg7dmEjWBcmL,Travis Scott,ASTROWORLD,17746,198408,TRUE,FALSE,CAN'T SAY,78,0.201,0.702,0.708,0,10,0.118,-5.366,0,0.0547,147.98,4,0.713,24548084
2dgrYdgguVZKeCsrVb9XEs,Mac Miller,Swimming,17746,288640,TRUE,FALSE,What's the Use?,71,0.736,0.759,0.492,0.00989,1,0.107,-10.338,0,0.12,104.974,4,0.561,4826869
2xLMifQCjDGFmkHkpNLD9h,Travis Scott,ASTROWORLD,17746,312820,TRUE,FALSE,SICKO MODE,89,0.00513,0.834,0.73,0,8,0.124,-3.714,1,0.222,155.008,4,0.446,236391135
33NEAJosK5zyLY2D4OG7AE,YG,STAY DANGEROUS,17746,284693,TRUE,FALSE,SLAY (feat. Quavo),68,0.0682,0.735,0.44,0,10,0.33,-7.647,0,0.0469,87.985,4,0.239,1524864
39NDBdU5Xkm5pCFGa5kZtI,Mac Miller,Swimming,17746,287040,TRUE,FALSE,Ladders,75,0.236,0.802,0.463,0.00531,8,0.105,-8.379,1,0.162,103.961,4,0.291,9922505
4KYS9GK68yeuUJ8vJfPxrq,Travis Scott,ASTROWORLD,17746,176720,TRUE,FALSE,WHO? WHAT!,70,0.0462,0.834,0.731,0,10,0.0731,-5.603,0,0.0566,140.001,4,0.681,15205272
4MXhiYIRDMGAuvZc5IFTwC,Travis Scott,ASTROWORLD,17746,142969,TRUE,FALSE,ASTROTHUNDER,72,0.142,0.7,0.46,4.81E-05,4,0.111,-8.111,0,0.0661,151.901,4,0.286,12944105
4QL6NHf6sl3Sx58AFKc1GQ,YG,STAY DANGEROUS,17746,172893,TRUE,FALSE,POWER (feat. Ty Dolla $ign),59,0.0113,0.932,0.486,0,1,0.101,-7.965,1,0.0671,100.014,4,0.413,1726088
4SZepBIPDRwPaHIjAKwRDb,Travis Scott,ASTROWORLD,17746,185610,TRUE,FALSE,R.I.P. SCREW,71,0.389,0.607,0.609,1.60E-05,0,0.111,-5.978,0,0.291,74.946,4,0.556,20285079
4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello),17745,180000,FALSE,FALSE,Beautiful (feat. Camila Cabello),85,0.346,0.638,0.717,0,2,0.105,-4.722,1,0.0337,100.027,4,0.249,65960406
50wkDxcIfamIajKwmgp0iB,YG,STAY DANGEROUS,17746,215533,TRUE,FALSE,HANDGUN (feat. A$AP Rocky),62,0.0195,0.843,0.546,0,8,0.374,-7.714,1,0.464,159.104,4,0.427,2089759
58TaFP5j5i9swOf584yon2,Travis Scott,ASTROWORLD,17746,217828,TRUE,FALSE,HOUSTONFORNICATION,72,0.0985,0.689,0.723,0,0,0.158,-4.052,0,0.0836,160.042,4,0.288,14312818
5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,Swimming,17746,345133,TRUE,FALSE,Self Care,78,0.367,0.52,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,4,0.177,36909828
5p7GiBZNL1afJJDUrOA6C8,Mac Miller,Swimming,17746,245640,TRUE,FALSE,Hurt Feelings,73,0.343,0.69,0.462,0.00218,8,0.113,-8.054,1,0.13,157.655,4,0.325,7654941
6ArSQdZWckNt208EzsgUM5,Trippie Redd,Taking A Walk,17749,121680,TRUE,FALSE,Taking A Walk,61,0.68,0.767,0.538,0,0,0.192,-6.044,0,0.052,81.031,4,0.343,1755041
6BJbOXDlgVAXSaq6wYFYT2,Travis Scott,ASTROWORLD,17746,156885,TRUE,FALSE,NC-17,69,0.0678,0.804,0.763,0,2,0.368,-5.48,1,0.0519,136.052,4,0.0585,15542218
6lzLjIOyWTyTJvk0jraYee,H.E.R.,I Used To Know Her: The Prelude,17746,248466,FALSE,FALSE,Could've Been (feat. Bryson Tiller),76,0.64,0.545,0.33,7.00E-06,1,0.22,-11.719,0,0.164,103.553,4,0.399,1573012
6NMtzpDQBTOfJwMzgMX0zl,Travis Scott,ASTROWORLD,17746,145588,TRUE,FALSE,SKELETONS,70,0.00146,0.46,0.686,0,0,0.375,-5.948,0,0.0367,148.054,4,0.252,12820099
6OaVWaGfhXn70ZJfdVcabn,Travis Scott,ASTROWORLD,17746,218283,TRUE,FALSE,NO BYSTANDERS,74,0.0204,0.731,0.811,0,1,0.411,-3.225,1,0.0712,147.045,4,0.426,20418483
6vnfObZ4Ys70SBAtti1xZ9,Travis Scott,ASTROWORLD,17746,209115,TRUE,FALSE,COFFEE BEAN,69,0.0862,0.81,0.582,0.00681,5,0.207,-5.098,0,0.125,95.004,4,0.503,6717315
6xcJyGpfZbuuiequtnlKt4,Travis Scott,ASTROWORLD,17745,190557,FALSE,FALSE,BUTTERFLY EFFECT,49,0.053,0.764,0.628,0,11,0.114,-5.851,1,0.0503,140.963,4,0.196,45128768
7GG1QIQ547taCwl1uLaTf5,YG,STAY DANGEROUS,17746,172773,TRUE,FALSE,TOO COCKY,62,0.0137,0.925,0.354,0,5,0.334,-8.163,1,0.13,100.026,4,0.405,1497838
7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando),17466,163216,FALSE,FALSE,Body (feat. brando),66,0.0476,0.752,0.764,9.44E-05,1,0.0543,-4.399,1,0.038,121.958,4,0.582,34309622
7KZ5MMVgBVox9ycroB2UrI,Travis Scott,ASTROWORLD,17746,180182,TRUE,FALSE,CAROUSEL,70,0.229,0.428,0.403,0,5,0.22,-5.914,0,0.209,95.387,5,0.133,25619343
7lAK3oHbfEnvUQWosrMMpR,Travis Scott,ASTROWORLD,17746,150043,TRUE,FALSE,YOSEMITE,82,0.283,0.785,0.554,3.40E-06,0,0.116,-6.571,1,0.0409,128.047,4,0.144,75684325
7wBJfHzpfI3032CSD7CE2m,Travis Scott,ASTROWORLD,17746,270714,TRUE,FALSE,STARGAZING,80,0.00947,0.487,0.789,4.05E-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564,95160781
03It1uO69CjGWP3yyVe465,Nicki Minaj,Queen,17753,370440,TRUE,FALSE,Chun Swae (feat. Swae Lee),61,0.0656,0.848,0.421,0.00151,10,0.136,-8.025,0,0.0648,141.01,4,0.212,2132043
19Fcrc0nJiwMKom00gS9SW,Nicki Minaj,Queen,17753,199400,TRUE,FALSE,Good Form,65,0.113,0.88,0.775,0.00264,7,0.0943,-5.133,1,0.0952,96.507,4,0.284,1691942
1e4rwBPVI32vZtTJu7mJ4J,Nicki Minaj,Queen,17753,191600,TRUE,FALSE,Chun-Li,74,0.276,0.69,0.729,5.08E-05,6,0.106,-5.08,0,0.372,128.96,5,0.478,5873754
1hHbmfNfXIwHyHCYO8ae3I,Nicki Minaj,Queen,17753,193893,TRUE,FALSE,Hard White,56,0.08,0.761,0.736,0.0272,2,0.145,-3.403,1,0.212,173.947,4,0.273,1669165
1j2l6jMz85PaXuDiF08Vcv,Trippie Redd,LIFE'S A TRIP,17753,228960,TRUE,FALSE,Bird Shit,61,0.0493,0.78,0.566,0,0,0.18,-8.354,1,0.12,159.965,4,0.476,2210784
